run_id,model,feature_index,importance
20260226_094437,RandomForest,133,2.6744543075588626e-05
20260226_094437,RandomForest,134,2.0563650331384582e-05
20260226_094437,RandomForest,135,6.708744376569828e-06
20260226_094437,RandomForest,136,7.565989724566171e-06
20260226_094437,RandomForest,137,4.2054548571299376e-05
20260226_094437,RandomForest,138,6.2503306664350134e-06
20260226_094437,RandomForest,139,2.2945833840501363e-09
20260226_094437,RandomForest,141,2.2748500166512414e-08
20260226_094437,RandomForest,142,4.794328705421241e-06
20260226_094437,RandomForest,144,4.2566258968235646e-10
20260226_094437,RandomForest,148,4.304807208530534e-09
20260226_094437,RandomForest,149,1.9036499818641712e-06
20260226_094437,RandomForest,150,1.1175734884981816e-05
20260226_094437,RandomForest,151,6.260101240712241e-09
20260226_094437,RandomForest,152,6.842000873490616e-06
20260226_094437,RandomForest,153,7.65194000100788e-08
20260226_094437,RandomForest,158,4.437699001527664e-06
20260226_094437,RandomForest,160,7.126874612040293e-08
20260226_094437,RandomForest,162,1.1150501593200443e-08
20260226_094437,RandomForest,163,1.1532641556106785e-08
20260226_094437,RandomForest,169,9.421407211694533e-06
20260226_094437,RandomForest,170,1.1556583300265589e-07
20260226_094437,RandomForest,171,2.013239625599499e-09
20260226_094437,RandomForest,173,4.595811685192753e-09
20260226_094437,RandomForest,176,2.8414587823368174e-08
20260226_094437,RandomForest,180,1.468003311843595e-07
20260226_094437,RandomForest,182,2.1284699531287002e-08
20260226_094437,RandomForest,188,7.755806435151818e-07
20260226_094437,RandomForest,190,1.6423538405075882e-08
20260226_094437,RandomForest,194,1.579178544410151e-09
20260226_094437,RandomForest,195,8.526392505603223e-06
20260226_094437,RandomForest,197,1.5461030297808014e-09
20260226_094437,RandomForest,199,4.897166789036987e-06
20260226_094437,RandomForest,201,1.1393048265747985e-07
20260226_094437,RandomForest,203,1.284837116766009e-08
20260226_094437,RandomForest,205,6.78134402116667e-09
20260226_094437,RandomForest,206,2.4573550486862866e-09
20260226_094437,RandomForest,208,2.2655708618094325e-09
20260226_094437,RandomForest,209,1.7588267689954874e-10
20260226_094437,RandomForest,211,4.02316238104523e-09
20260226_094437,RandomForest,213,1.57871064110582e-07
20260226_094437,RandomForest,214,4.1073511567865994e-09
20260226_094437,RandomForest,216,4.234293814235075e-10
20260226_094437,RandomForest,217,4.8306544862155085e-06
20260226_094437,RandomForest,219,1.9964159827693253e-08
20260226_094437,RandomForest,220,6.832739749158045e-06
20260226_094437,RandomForest,222,1.6753335289548567e-08
20260226_094437,RandomForest,223,4.232030188192893e-09
20260226_094437,RandomForest,225,2.8912918906392496e-07
20260226_094437,RandomForest,227,3.86552130939524e-09
20260226_094437,RandomForest,233,4.864374378087188e-06
20260226_094437,RandomForest,234,6.411709537808069e-09
20260226_094437,RandomForest,235,4.108550498476105e-09
20260226_094437,RandomForest,238,3.5113125346221225e-08
20260226_094437,RandomForest,239,5.7247010330553595e-08
20260226_094437,RandomForest,244,4.1301410214925845e-06
20260226_094437,RandomForest,245,3.146931543973857e-08
20260226_094437,RandomForest,246,9.652742990430544e-09
20260226_094437,RandomForest,249,1.6590665224765055e-09
20260226_094437,RandomForest,250,2.204196676320222e-09
20260226_094437,RandomForest,251,1.8504099432259018e-09
20260226_094437,RandomForest,255,6.931971263786792e-06
20260226_094437,RandomForest,256,2.9014184618427163e-09
20260226_094437,RandomForest,257,8.238668690156106e-08
20260226_094437,RandomForest,259,3.3525936823191e-06
20260226_094437,RandomForest,269,3.2416994505920216e-08
20260226_094437,RandomForest,270,8.313997485042793e-06
20260226_094437,RandomForest,271,1.033732192034936e-08
20260226_094437,RandomForest,280,3.833989166300734e-09
20260226_094437,RandomForest,281,1.418701226454289e-08
20260226_094437,RandomForest,282,5.266460937227957e-09
20260226_094437,RandomForest,283,1.6665231020637125e-08
20260226_094437,RandomForest,284,2.5801091921129894e-08
20260226_094437,RandomForest,286,7.083069127226832e-06
20260226_094437,RandomForest,289,1.1850609175660011e-08
20260226_094437,RandomForest,290,1.375807633298588e-09
20260226_094437,RandomForest,291,5.403718549101704e-06
20260226_094437,RandomForest,294,2.4122415992928922e-08
20260226_094437,RandomForest,297,9.562597749581815e-09
20260226_094437,RandomForest,298,2.8502767424712993e-08
20260226_094437,RandomForest,300,3.459578793875921e-07
20260226_094437,RandomForest,305,1.9116052488732183e-07
20260226_094437,RandomForest,307,1.1693100115903968e-07
20260226_094437,RandomForest,308,6.872165525345526e-06
20260226_094437,RandomForest,309,3.7005966352612804e-08
20260226_094437,RandomForest,310,1.1553856167638555e-05
20260226_094437,RandomForest,312,6.730158214567785e-06
20260226_094437,RandomForest,313,1.350285458119027e-07
20260226_094437,RandomForest,314,8.760522500699534e-06
20260226_094437,RandomForest,315,3.882978278382337e-07
20260226_094437,RandomForest,316,5.402633158441766e-09
20260226_094437,RandomForest,317,1.2932928005302089e-05
20260226_094437,RandomForest,318,1.0943522245205672e-05
20260226_094437,RandomForest,321,9.674533711685157e-06
20260226_094437,RandomForest,322,8.58432681487061e-06
20260226_094437,RandomForest,323,3.7899016199119406e-08
20260226_094437,RandomForest,326,7.858550288394759e-06
20260226_094437,RandomForest,330,2.203337908122988e-06
20260226_094437,RandomForest,332,1.800312014895681e-07
20260226_094437,RandomForest,334,2.5930431379478047e-07
20260226_094437,RandomForest,336,2.2943528378482628e-07
20260226_094437,RandomForest,337,8.240114284917744e-10
20260226_094437,RandomForest,339,9.675105898919627e-08
20260226_094437,RandomForest,340,6.663516552942462e-06
20260226_094437,RandomForest,344,3.442953134475347e-05
20260226_094437,RandomForest,345,6.113832380636407e-10
20260226_094437,RandomForest,347,7.906924611875924e-06
20260226_094437,RandomForest,349,1.1268501607486036e-05
20260226_094437,RandomForest,352,1.0113813657922862e-05
20260226_094437,RandomForest,353,6.4688670606527765e-06
20260226_094437,RandomForest,356,3.1572041638224626e-06
20260226_094437,RandomForest,361,1.9821674446989995e-05
20260226_094437,RandomForest,362,4.044329568277011e-06
20260226_094437,RandomForest,363,5.416280297780661e-07
20260226_094437,RandomForest,365,3.981907904753714e-06
20260226_094437,RandomForest,368,4.883511505653606e-10
20260226_094437,RandomForest,369,2.604821048936573e-07
20260226_094437,RandomForest,373,1.03834955699942e-05
20260226_094437,RandomForest,377,4.705871439612516e-06
20260226_094437,RandomForest,381,4.44626916797856e-07
20260226_094437,RandomForest,386,5.247954742550183e-06
20260226_094437,RandomForest,391,8.461882114639643e-06
20260226_094437,RandomForest,394,6.416037544972376e-06
20260226_094437,RandomForest,399,2.1361278664565104e-08
20260226_094437,RandomForest,405,7.880878755603405e-07
20260226_094437,RandomForest,406,3.147447883625186e-06
20260226_094437,RandomForest,407,5.0205285391779254e-08
20260226_094437,RandomForest,408,5.503576353419532e-06
20260226_094437,RandomForest,410,5.398377401661842e-07
20260226_094437,RandomForest,413,6.185473091877423e-06
20260226_094437,RandomForest,416,5.275750846747102e-06
20260226_094437,RandomForest,417,2.9363355850433884e-06
20260226_094437,RandomForest,419,5.23128991225996e-06
20260226_094437,RandomForest,422,8.104925223029719e-06
20260226_094437,RandomForest,424,9.861638692913848e-09
20260226_094437,RandomForest,427,3.321089972530597e-09
20260226_094437,RandomForest,428,8.038313923413089e-08
20260226_094437,RandomForest,433,2.3400893640398186e-09
20260226_094437,RandomForest,438,4.432465322910951e-08
20260226_094437,RandomForest,442,1.9016452067696377e-06
20260226_094437,RandomForest,449,3.5685849974382385e-06
20260226_094437,RandomForest,451,2.020205672544915e-06
20260226_094437,RandomForest,454,9.382006199065958e-08
20260226_094437,RandomForest,455,3.928608674388669e-06
20260226_094437,RandomForest,458,1.078224917256877e-05
20260226_094437,RandomForest,462,7.533163366595593e-06
20260226_094437,RandomForest,464,2.316728229340351e-06
20260226_094437,RandomForest,475,1.1167519264350701e-08
20260226_094437,RandomForest,480,6.925316392696413e-08
20260226_094437,RandomForest,484,1.1389703192982365e-10
20260226_094437,RandomForest,486,4.749373106257286e-09
20260226_094437,RandomForest,488,9.862100358729904e-09
20260226_094437,RandomForest,490,4.599085187935981e-06
20260226_094437,RandomForest,494,1.1058739594783457e-07
20260226_094437,RandomForest,497,5.40226001964859e-06
20260226_094437,RandomForest,503,3.258355405368839e-09
20260226_094437,RandomForest,507,4.4278522906003074e-06
20260226_094437,RandomForest,509,1.0177536362149528e-09
20260226_094437,RandomForest,518,1.4251032651511697e-05
20260226_094437,RandomForest,527,3.566992734676677e-06
20260226_094437,RandomForest,534,2.8517407137173e-07
20260226_094437,RandomForest,535,3.08016028847864e-05
20260226_094437,RandomForest,536,1.915327602102237e-07
20260226_094437,RandomForest,540,2.6810361464689575e-06
20260226_094437,RandomForest,547,3.501045316925777e-06
20260226_094437,RandomForest,550,6.064913786725118e-09
20260226_094437,RandomForest,553,2.072861441580218e-06
