run_id,model,actual_label_index,pred_label_index,count
20260226_094437,LogisticRegression_Multinomial,6.0,0.0,43.0
20260226_094437,LogisticRegression_Multinomial,6.0,1.0,0.0
20260226_094437,LogisticRegression_Multinomial,6.0,2.0,0.0
20260226_094437,LogisticRegression_Multinomial,6.0,3.0,0.0
20260226_094437,LogisticRegression_Multinomial,6.0,4.0,0.0
20260226_094437,LogisticRegression_Multinomial,6.0,5.0,4.0
20260226_094437,LogisticRegression_Multinomial,6.0,6.0,26.0
20260226_094437,LogisticRegression_Multinomial,6.0,7.0,0.0
20260226_094437,LogisticRegression_Multinomial,6.0,8.0,0.0
20260226_094437,LogisticRegression_Multinomial,6.0,9.0,0.0
20260226_094437,LogisticRegression_Multinomial,6.0,10.0,0.0
20260226_094437,LogisticRegression_Multinomial,6.0,11.0,0.0
20260226_094437,LogisticRegression_Multinomial,6.0,12.0,0.0
20260226_094437,LogisticRegression_Multinomial,6.0,13.0,0.0
20260226_094437,LogisticRegression_Multinomial,7.0,0.0,0.0
20260226_094437,LogisticRegression_Multinomial,7.0,1.0,0.0
20260226_094437,LogisticRegression_Multinomial,7.0,2.0,0.0
20260226_094437,LogisticRegression_Multinomial,7.0,3.0,0.0
20260226_094437,LogisticRegression_Multinomial,7.0,4.0,0.0
20260226_094437,LogisticRegression_Multinomial,7.0,5.0,0.0
20260226_094437,LogisticRegression_Multinomial,7.0,6.0,0.0
20260226_094437,LogisticRegression_Multinomial,7.0,7.0,56.0
20260226_094437,LogisticRegression_Multinomial,7.0,8.0,0.0
20260226_094437,LogisticRegression_Multinomial,7.0,9.0,0.0
20260226_094437,LogisticRegression_Multinomial,7.0,10.0,0.0
20260226_094437,LogisticRegression_Multinomial,7.0,11.0,0.0
20260226_094437,LogisticRegression_Multinomial,7.0,12.0,0.0
20260226_094437,LogisticRegression_Multinomial,7.0,13.0,0.0
20260226_094437,LogisticRegression_Multinomial,8.0,0.0,6.0
20260226_094437,LogisticRegression_Multinomial,8.0,1.0,0.0
20260226_094437,LogisticRegression_Multinomial,8.0,2.0,0.0
20260226_094437,LogisticRegression_Multinomial,8.0,3.0,0.0
